Stacking          $+s
Tabbed            $+w
Split (toggle)    $+e
Float (toggle)    $+Shift+Space

Focus parent      $+a
Focus child       $+d

i3 restart        $+Shift+r
i3 reload         $+Shift+c
i3 exit           $+Shift+e

Dock              $+i
Undock            $+o
Dock Beamer       $+Shift+i

git status        gs
git add -A        gaa
git commit -m     gcm




Delete file       dd
Media menu        :media
  mount (toggle)  m
Copy/Move start   yy
Copy here         p
Move here         Shift+p
Filter            =filter

Select single         t
Select range start    av
Select range confirm  Enter
Select range end      v

Change file           c+...




ncdu        analyze disk usage
yay         aur package manager
pmount dev  mount (encrypted) volume to /media
pumount dev umount (encrypted) volume
